Title,Company,Location,Type,URL,Date Added,Status
Data Engineer - Business Strategy Insights Analytics,Spotify,"New York, NY",Content Business,https://jobs.lever.co/spotify/ca3766af-35b1-4d78-9e12-aab1ceca7ec3,2025-11-05T18:52:24Z,Not Applied
"FP&A Analyst, Audiobooks",Spotify,"New York, NY",Financial Planning and Analysis,https://jobs.lever.co/spotify/56d20eb8-a65b-4b0a-9592-4949d09ca1da,2025-11-05T18:52:24Z,Not Applied
Global Rights & Clearances Analyst,Spotify,"New York, NY",Business Affairs,https://jobs.lever.co/spotify/a00810c8-aaf8-4ff7-b182-8bb7aef8e8db,2025-11-05T18:52:24Z,Not Applied
"Machine Learning Engineer, GenRecs, Personalization",Spotify,"New York, NY",Personalization,https://jobs.lever.co/spotify/7a91e2dd-1214-4a50-add2-b6e8a91c6613,2025-11-05T18:52:24Z,Not Applied
"Machine Learning Engineer, Personalization",Spotify,"New York, NY",Personalization,https://jobs.lever.co/spotify/35de0846-f4bb-4975-8f21-382b44aa0e40,2025-11-05T18:52:24Z,Not Applied
"Machine Learning Engineer, Personalization",Spotify,"New York, NY",Personalization,https://jobs.lever.co/spotify/98128e96-330e-47d9-88bb-55a96b126f42,2025-11-05T18:52:24Z,Not Applied
Payroll Specialist,Spotify,"New York, NY",Accounting,https://jobs.lever.co/spotify/184f631b-b751-49d9-bacb-5695b1e3a8e8,2025-11-05T18:52:24Z,Not Applied
"Consulting Pre-Sales Systems Engineer-SLED, NYC ",Purestorage,"New York, New York",,https://boards.greenhouse.io/purestorage/jobs/7343401?gh_jid=7343401,2025-11-05T18:52:16Z,Not Applied
Inventory Analyst,Purestorage,"Remote, Vietnam",,https://boards.greenhouse.io/purestorage/jobs/7278891?gh_jid=7278891,2025-11-05T18:52:16Z,Not Applied
Product Quality Engineer,Purestorage,"Houston, Texas; Santa Clara, California",,https://boards.greenhouse.io/purestorage/jobs/7261014?gh_jid=7261014,2025-11-05T18:52:16Z,Not Applied
Technical Curriculum Developer,Purestorage,"Chicago, Illinois; Lehi, Utah; New York, New York; Santa Clara, California",,https://boards.greenhouse.io/purestorage/jobs/7145087?gh_jid=7145087,2025-11-05T18:52:16Z,Not Applied
Cyber Incident Response/Customer Security Operations - SkillBridge Intern,Zscaler,USA - Update Location,,https://job-boards.greenhouse.io/zscaler/jobs/4946064007,2025-11-05T18:52:14Z,Not Applied
Partner Sales Specialist,Zscaler,Remote - Mexico,,https://job-boards.greenhouse.io/zscaler/jobs/4842198007,2025-11-05T18:52:14Z,Not Applied
Sales Engineer,Zscaler,"Melbourne, AUS",,https://job-boards.greenhouse.io/zscaler/jobs/4917433007,2025-11-05T18:52:14Z,Not Applied
Sales Engineer,Zscaler,Remote - UK,,https://job-boards.greenhouse.io/zscaler/jobs/4832457007,2025-11-05T18:52:14Z,Not Applied
